gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000166979	5424.548843211068	-0.09260457801786061	0.1570840246667991	-0.5895225705751432	0.5555107758698583	0.9570784049475978
ENSG00000182816	247.2235122922725	0.23063742676268115	0.4058847762073097	0.5682337458374659	0.5698762601631079	0.9570784049475978
ENSG00000273590	3049.4403544124243	-0.10803356099771048	0.1941814895068549	-0.5563535498263686	0.5779691863169243	0.9570784049475978
ENSG00000183844	2345.6206989719103	-0.11751250932577698	0.21430350835852943	-0.5483461760652968	0.5834542266255782	0.9570784049475978
ENSG00000159267	7232.800644698057	-0.08587098889024541	0.157813727027397	-0.5441287681859128	0.5863528650911943	0.9570784049475978
ENSG00000160208	2687.935038806699	0.13647856527958963	0.25148307257256836	0.5426948378014872	0.5873399290778003	0.9570784049475978
ENSG00000280071	3227.3517256503224	-0.10620768863745755	0.20061706039063223	-0.5294050686948302	0.5965244827634515	0.9570784049475978
ENSG00000160299	8676.136684866251	-0.09111476555543356	0.17456904848668894	-0.5219411249891824	0.6017113234792912	0.9570784049475978
ENSG00000160285	8273.592848741642	-0.11267613850200393	0.21844553783314014	-0.5158088355554863	0.6059879309155212	0.9570784049475978
ENSG00000142182	1644.238847661929	-0.1211073271433524	0.23811387982427268	-0.5086109521743514	0.6110249506026671	0.9570784049475978
ENSG00000160282	4789.630642138229	-0.07820206642599428	0.1559685609267635	-0.5013963452718833	0.6160922114075952	0.9570784049475978
ENSG00000187005	185.89547043394617	0.26779675617209325	0.5345738376153883	0.5009537267417974	0.6164036894126829	0.9570784049475978
ENSG00000206105	63.373510420899244	0.3338136094066957	0.6902894300073468	0.4835849933311928	0.6286804270369968	0.9570784049475978
ENSG00000157542	8537.946082469502	-0.08767133823904298	0.18591436867027114	-0.4715683831545731	0.6372348985525016	0.9570784049475978
ENSG00000160284	1127.4255445743104	-0.14069934346976107	0.2988616852176016	-0.4707841467443968	0.6377948866951035	0.9570784049475978
ENSG00000182670	29249.740510358177	0.09045082382360595	0.19520810451759774	0.46335588395333216	0.6431092949542787	0.9570784049475978
ENSG00000160255	11488.601630329438	-0.07590675759915062	0.16426266904222647	-0.4621059553077	0.6440053397342553	0.9570784049475978
ENSG00000160202	1533.7141882014457	-0.10780675104497882	0.23691798510857473	-0.45503827409123526	0.6490817037611238	0.9570784049475978
ENSG00000285815	1041.0407135923174	-0.1462309282077106	0.32285580240157946	-0.4529295342377753	0.6505994831690902	0.9570784049475978
ENSG00000215454	1270.7752170963074	0.14104015849100357	0.3115614392769488	0.45268810806086995	0.6507733438809071	0.9570784049475978
ENSG00000142192	11354.784991081002	-0.0666238989320931	0.14726944625084254	-0.4523945776139695	0.6509847525714805	0.9570784049475978
ENSG00000197381	17321.935542153104	-0.10704960284128975	0.23749310765149467	-0.4507482507592512	0.6521710023023897	0.9570784049475978
ENSG00000160214	3844.530256750979	-0.08914618534111093	0.19860417412129927	-0.44886360387704693	0.6535300528322598	0.9570784049475978
ENSG00000185272	2479.9574818499696	-0.08771147392015174	0.20334514166391646	-0.4313428548252162	0.6662190943276121	0.9570784049475978
ENSG00000240432	136.48906253031885	0.20405546813143205	0.4747178698737151	0.42984576962673654	0.6673078362794591	0.9570784049475978
ENSG00000154642	3261.5411034818526	0.07536506920555255	0.1763691174373488	0.42731443180422063	0.669150322607329	0.9570784049475978
ENSG00000157551	11706.972472621315	0.06937077205266351	0.16700301219551852	0.4153863522620046	0.6778590958922037	0.9570784049475978
ENSG00000159231	409.16095564638385	-0.17783136459078663	0.43184826305191304	-0.4117913160841156	0.6804923868892263	0.9570784049475978
